"base","en","de"
"Add Task","Add Task","Aufgabe hinzufügen"
"Cancel","Cancel","Abbrechen"
"Choose Time","Choose Time","Zeit auswählen"
"Erase picture","Erase picture","Bild löschen"
"How to remind you","How to remind you",""
"How to remind you?","How to remind you?","Wie soll ich Dich erinnern?"
"Proceed","Proceed","Fortfahren"
"Recurring Tasks Manager","Recurring Tasks Manager","Wiederkehrende Aufgaben Manager"
"Saving task...","Saving task...","Wird gespeichert..."
"Take a picture","Take a picture","Foto machen"
"Task active...","Task active...","Aufgabe aktiv..."
"Task archived...","Task archived...","Aufgabe archiviert..."
"Task deleted...","Task deleted...","Aufgabe gelöscht..."
"Task done...","Task done...","Aufgabe erledigt..."
"Task ignored...","Task ignored...","Aufgabe ignoriert..."
"This Task has still to be done. Do you want to archive it anyway?","This Task has still to be done. Do you want to archive it anyway?","Dieser Aufgabe muss noch erledigt werden. Willst Du ihn trotzdem archivieren?"
"Time of day to pop up","Time of day to pop up","Tageszeit der Erinnerung"
"Title","Title","Titel"
"active","active","aktiv"
"archive","archive","Archiv"
"new task","new task","Neuer Aufgabe"
"privacy policy","privacy policy","Datenschutzerklärung"
"todos","todos","Todos"
"undone todo","undone todo","Rückgängig gemacht"
